name,piste:difficulty,piste:type,geometry,ski_hill
Pika,easy,downhill,"LINESTRING (-116.125253 51.454062, -116.124795 51.454144, -116.124689 51.454216, -116.124607 51.45431, -116.12453 51.454417, -116.124427 51.454524, -116.1243 51.454629, -116.124144 51.454705, -116.124094 51.454714, -116.123998 51.454711, -116.123878 51.454647, -116.123775 51.454593, -116.123678 51.454583, -116.123577 51.454593, -116.123426 51.454617, -116.123216 51.454689, -116.123019 51.454785, -116.122813 51.454999, -116.122663 51.455345, -116.122551 51.455526, -116.122446 51.455622, -116.12235 51.455653, -116.122253 51.455647, -116.122024 51.45554, -116.12191 51.455499, -116.121779 51.455489, -116.121694 51.455525, -116.121655 51.455572, -116.121492 51.45623, -116.1212 51.456845, -116.121058 51.457719, -116.121017 51.45803, -116.120964 51.458437, -116.121114 51.458793, -116.121371 51.459364, -116.121481 51.459595, -116.1215 51.459635, -116.121595 51.459904, -116.121732 51.46016, -116.121749 51.460273, -116.121663 51.460326, -116.121577 51.460326, -116.121423 51.460294, -116.121225 51.460187, -116.121054 51.460139, -116.120899 51.460139, -116.120796 51.460192, -116.120565 51.460513, -116.120504 51.460631, -116.120496 51.460738, -116.120608 51.460893, -116.120779 51.461257, -116.120925 51.461802, -116.121042 51.462019, -116.121054 51.462059, -116.121037 51.462171, -116.120942 51.462305, -116.120796 51.462364, -116.120573 51.462364, -116.120264 51.46223, -116.119861 51.461947, -116.119288 51.461523, -116.118917 51.46123, -116.118204 51.460545, -116.117715 51.459968, -116.117622 51.45956, -116.117494 51.459261, -116.117228 51.458854, -116.117116 51.458651, -116.117056 51.458549, -116.116996 51.458373, -116.116891 51.458208, -116.116377 51.457782, -116.116104 51.457431, -116.115707 51.457011, -116.115249 51.456492, -116.11499 51.456287, -116.114672 51.456147, -116.113767 51.455736, -116.113329 51.455499, -116.112883 51.455181, -116.112544 51.454966, -116.112413 51.454783, -116.112342 51.454577, -116.112308 51.454278, -116.112316 51.453609, -116.112368 51.453315, -116.112428 51.453026, -116.112711 51.452197, -116.113303 51.451213, -116.113827 51.450384, -116.114301 51.449762, -116.114514 51.44949, -116.115904 51.448292)",lakelouise
Old Ptarmigan,intermediate,downhill,"LINESTRING (-116.121779 51.455489, -116.121668 51.455284, -116.12159 51.454993, -116.121603 51.454705, -116.121646 51.454384, -116.121595 51.454181, -116.12146 51.454092, -116.12122 51.454037, -116.120818 51.454034, -116.120543 51.454096, -116.120288 51.454187, -116.120095 51.45429, -116.119739 51.454574, -116.119502 51.454808, -116.11926 51.455112, -116.119148 51.455454, -116.119059 51.456163, -116.119 51.45624, -116.118895 51.456308, -116.118724 51.456375, -116.118453 51.456414, -116.118123 51.456424, -116.117881 51.456379, -116.117664 51.45631, -116.1172 51.456037, -116.116745 51.45578, -116.116578 51.45569, -116.116408 51.455635, -116.116174 51.455607, -116.115531 51.455616, -116.11517 51.455611, -116.114918 51.455565, -116.11481 51.455538, -116.114617 51.455441, -116.114514 51.455368, -116.114119 51.455077, -116.113941 51.454946, -116.113827 51.454834, -116.113561 51.454566, -116.113269 51.454299, -116.112848 51.453989, -116.11266 51.453785, -116.112518 51.453582, -116.112428 51.453454, -116.112368 51.453315)",lakelouise
Larch Link,intermediate,downhill,"LINESTRING (-116.10745 51.445024, -116.108191 51.445324, -116.108437 51.445393, -116.109106 51.445623, -116.109647 51.445922, -116.109904 51.445985, -116.110097 51.446001, -116.110296 51.446057, -116.111366 51.445809)",lakelouise
Marmot,easy,downhill,"LINESTRING (-116.105828 51.436817, -116.10575 51.437432, -116.105621 51.437978, -116.105501 51.43862, -116.105501 51.438952, -116.105493 51.439208, -116.105261 51.439481, -116.105038 51.439722, -116.104677 51.440102, -116.104368 51.44023, -116.104042 51.440262, -116.103768 51.440348, -116.103467 51.440605, -116.103193 51.441102, -116.102944 51.44153, -116.102909 51.441771, -116.103021 51.44213, -116.10304 51.44216, -116.103278 51.442734, -116.103742 51.443151, -116.104034 51.443449, -116.104291 51.443569, -116.104823 51.443879, -116.105769 51.444193, -116.106351 51.444392, -116.10644 51.444442, -116.107012 51.444655, -116.10745 51.445024, -116.107906 51.445429, -116.10831 51.445771, -116.108602 51.44621, -116.108851 51.446916, -116.109263 51.447285, -116.109417 51.447504, -116.10982 51.447643, -116.110138 51.447847, -116.11049 51.448162, -116.110765 51.448494, -116.1117 51.448863, -116.11285 51.449296, -116.11304 51.44939, -116.113923 51.449783, -116.114095 51.449799, -116.114301 51.449762)",lakelouise
,advanced,downhill,"LINESTRING (-116.131688 51.46039, -116.131645 51.460251, -116.131414 51.46)",lakelouise
Paradise Bowl,advanced,downhill,"LINESTRING (-116.131414 51.46, -116.130718 51.460112, -116.129757 51.460059, -116.128839 51.459984, -116.128767 51.459975, -116.127705 51.459843, -116.127594 51.459829, -116.126805 51.459775, -116.126178 51.459786, -116.12544 51.45984, -116.125309 51.459899, -116.124599 51.460225, -116.124135 51.460481, -116.123909 51.460704, -116.123861 51.460738, -116.123337 51.461412, -116.123045 51.4617, -116.122504 51.461973, -116.122187 51.462246, -116.122024 51.462449, -116.121758 51.462658, -116.121451 51.462721)",lakelouise
Saddleback Bowl,easy,downhill,"LINESTRING (-116.131834 51.46054, -116.132748 51.461002, -116.133422 51.461342, -116.133685 51.461552, -116.133878 51.461705, -116.134195 51.461957, -116.134511 51.462138, -116.134709 51.462251, -116.135158 51.462491, -116.135355 51.462608, -116.135407 51.462827, -116.135648 51.463015, -116.136059 51.463335, -116.136162 51.463437, -116.136128 51.463576, -116.136059 51.463849, -116.136075 51.464027, -116.136085 51.464132, -116.136119 51.464314, -116.136025 51.464635, -116.135784 51.464956, -116.135527 51.465277, -116.135347 51.465415, -116.135149 51.465474, -116.134857 51.465405, -116.134583 51.465271, -116.134293 51.464992, -116.134205 51.464908, -116.134016 51.46479, -116.133741 51.46472, -116.133501 51.46472, -116.133167 51.464694, -116.132823 51.464742, -116.132282 51.465004, -116.131704 51.465443, -116.131473 51.465618, -116.131304 51.465747, -116.131129 51.466021, -116.131021 51.466191, -116.131012 51.466453, -116.131038 51.466726, -116.131132 51.466923, -116.131218 51.467046, -116.131167 51.467191, -116.130944 51.467431, -116.130557 51.467624, -116.130162 51.467816, -116.12969 51.467918, -116.129364 51.467955, -116.128978 51.467848, -116.128755 51.467683, -116.128163 51.46725, -116.127991 51.467062, -116.127939 51.46687, -116.127759 51.46664, -116.127459 51.46649, -116.12703 51.466314, -116.126497 51.466057, -116.125682 51.465528, -116.125322 51.465116, -116.124446 51.464212, -116.123931 51.463651, -116.123365 51.463116, -116.122927 51.462886, -116.122812 51.462857, -116.122395 51.462753, -116.121828 51.462726, -116.121451 51.462721, -116.121142 51.462726, -116.120661 51.462672, -116.120215 51.462549, -116.119906 51.462287, -116.11958 51.461886, -116.119288 51.461523)",lakelouise
Home Run,intermediate,downhill,"LINESTRING (-116.135637 51.462488, -116.136297 51.462572, -116.136598 51.462358, -116.136426 51.46177, -116.135396 51.460647, -116.134924 51.459845, -116.135211 51.459698, -116.135963 51.459645, -116.137284 51.459711, -116.138786 51.460059, -116.139098 51.460037, -116.139452 51.459975, -116.140207 51.459758, -116.140901 51.459603, -116.140985 51.45909, -116.141072 51.4588, -116.141216 51.458428, -116.141522 51.458011, -116.141774 51.457793, -116.141941 51.457717, -116.142085 51.457698)",lakelouise
Rock Garden,intermediate,downhill,"LINESTRING (-116.105828 51.436817, -116.105726 51.436799, -116.105581 51.436885, -116.105443 51.437008, -116.105237 51.437056, -116.104808 51.437072, -116.104224 51.437072, -116.10395 51.437088, -116.10346 51.437147, -116.103177 51.437136, -116.102765 51.437072, -116.102207 51.437003, -116.101907 51.436976, -116.101787 51.437003, -116.101735 51.437056, -116.101924 51.437409, -116.102147 51.437709, -116.102302 51.437976, -116.102345 51.438249, -116.10225 51.438495, -116.10207 51.43887, -116.101787 51.439266, -116.101735 51.439566, -116.101718 51.439844, -116.101607 51.440052, -116.101263 51.440309, -116.100808 51.440523, -116.100654 51.440684, -116.100619 51.440876, -116.100688 51.441037, -116.101117 51.441427, -116.101272 51.441566, -116.101521 51.441604, -116.101664 51.441604, -116.101856 51.441615, -116.10201 51.441647, -116.102388 51.44178, -116.102791 51.442037, -116.10304 51.44216)",lakelouise
Lynx,advanced,downhill,"LINESTRING (-116.10752 51.440764, -116.107486 51.44086, -116.107366 51.441673, -116.106842 51.442117, -116.106835 51.442163, -116.106516 51.442647, -116.105924 51.443626, -116.105786 51.44399, -116.105769 51.444193)",lakelouise
Larch,intermediate,downhill,"LINESTRING (-116.105828 51.436817, -116.105924 51.436981, -116.106353 51.437441, -116.106679 51.437821, -116.106825 51.438164, -116.106868 51.438223, -116.107298 51.439135, -116.107331 51.439298, -116.107778 51.43987, -116.108482 51.440598, -116.109031 51.441513, -116.109271 51.442037, -116.10976 51.443011, -116.110567 51.444407, -116.111039 51.445076, -116.111366 51.445809, -116.111527 51.446147, -116.112102 51.447089, -116.112256 51.447378, -116.112531 51.4475, -116.114187 51.447998, -116.114943 51.448276, -116.11526 51.44834, -116.115458 51.448335, -116.115792 51.448228)",lakelouise
